,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3256307,1519388,Kikuo - Hole Dwelling (melon boy) [Bottomless],★ 5.66,96.5,5:48,2042,4.1,9.4,8.8,NM,mixed aim consistency
1,2,4564270,2163987,DJ YOSHITAKA - FLOWER (Astrolis) [Anthocyanin],★ 5.75,173.0,1:54,933,4.0,9.3,8.5,NM,flow streams / fingercontrol
2,3,3589968,1754252,Omoinotake - EVERBLUE (Yudragen) [Painting life on an empty canvas],★ 5.41,135.0,3:54,1468,4.3,9.6,8.0,NM,boy alt
3,4,3083586,1465727,ak+q x Street - neo kosmo (arronchu1207) [zyoi's extra],★ 5.31,190.0,2:11,866,4.0,9.3,8.8,NM,balanced slider tech
4,5,4014111,1581330,UNDEAD CORPORATION - The silent world (Aeril) [Extra],★ 5.76,220.0,3:38,2132,3.5,9.3,9.0,NM,mechanics/tapping consistency
5,6,1023667,479385,BTS - FIRE (sukiNathan) [PYROMANIA],★ 5.55,100.0,3:22,1447,4.0,9.4,8.4,HD,sorry (awkward aim w light-tech)
6,7,208935,63434,rerulili - Noushou Sakuretsu Girl (NatsumeRin) [dksslqj Style],★ 4.69,155.0,2:35,1091,4.0,8.0,7.0,HD,ar8 low bpm tapping
7,8,3202081,1567259,Soleily - Renatus (BadMapMaker) [Insane],★ 5.73,182.0,3:31,1346,5.2,10.0,10.0,HR,aim + bursts
8,9,3496002,1710962,Kendrick Lamar - Alright (KEFRMO) [we gon' be alright],★ 5.38,110.0,3:38,1150,6.5,10.0,10.0,HR,aim control precision
9,10,2911393,1412334,"Kugimiya Rie, Horie Yui, Kitamura Eri - Orange (Yuuma) [Bittersweet]",★ 5.89,210.0,2:56,1212,4.0,9.87,9.78,DT,regular aim
10,11,4411996,2102851,Ilmari Hakkola & Henri Sorvali - Bad Piggies Theme (Kippe) [Bad Insane],★ 5.79,234.0,1:22,889,3.8,9.67,9.11,DT,stamina speed
11,12,2426870,1160876,JKuch - Gertrude (feat. Lonemoon & Samad Savage) (squirrelpascals) [Hard],★ 5.02,255.0,2:21,924,4.0,10.07,9.11,DT,high ar technical
12,13,2870818,1288125,"K/DA - MORE feat. Madison Beer, (G)I-DLE, Lexie Liu, Jaira Burns, Seraphine (Elinor) [wafer & Eli's Expert]",★ 5.05 (5.43),142.0,3:29,1301,4.0,9.2,8.6,FM,mixed alt/tech
13,14,3603290,1732626,TOMOSUKE feat. Crystal Paloa - Seasons (Jycool) [fanzhen's Expert],★ 5.03 (5.54),168.0,1:38,669,4.7,9.0,8.0,FM,overlap reading / precision aim
14,15,4721790,2225923,Hiiragi Magnetite - Marshall Maximizer feat. KAFU (Oceanboy98) [i love the 5USC southern california B team],★ 5.26 (5.26),190.0,2:25,719,0.0,0.0,0.0,F+,oceanboy98
15,16,1056271,496222,aran - Moonbound feat. Yukacco (USAO Remix) (NeilPerry) [Moonlight],★ 5.93,174.0,5:09,2101,4.0,9.3,8.7,TB,banger dnb
