,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3521055,1722802,Tennoji Rina (CV: Tanaka Chiemi) - Tsunagaru Connect (Mrgglock) [Let's Sing Our Emotions],★ 5.51,175.0,3:44,1229,4.2,9.2,9.2,NM,跳
1,2,1627302,774225,"44teru-k - Kyousoukyoku ""Ume"" Daiichi Gakushou (Nemis) [Another]",★ 5.57,160.0,2:10,910,4.2,8.6,9.2,NM,慢速串
2,3,3986899,1871920,ZAQ - Dance In The Game (Petal) [Light's Insane],★ 4.95,135.0,3:02,1331,4.0,9.0,8.0,NM,alt/手控
3,4,2708965,1192060,Camellia - #1f1e33 (Realazy) [IOException's Insane],★ 5.21,181.0,2:31,1342,3.6,9.0,8.0,NM,tech
4,5,4379484,1902907,xi - Longinus (Anxient) [Insane],★ 5.25,212.0,4:17,2257,3.5,9.0,8.0,NM,高速串
5,6,4570327,2027742,remixed celas - Legend of Seeker (Celine) [Insane],★ 5.18,172.0,3:42,1539,4.0,8.8,8.0,NM,节奏/读谱/手控
6,7,4034663,1949141,Kito Akari - Dear Doze Days (Amateurre) [Marika],★ 5.43,172.0,4:01,1463,4.0,9.4,9.0,HD,awkward aim
7,8,3764198,1833543,F-777 - The 7 Seas (Aurorance) [Ocean],★ 5.36,140.0,2:12,752,4.0,8.5,8.0,HD,低 AR 三连音 aim
8,9,4049848,1955335,*Luna feat. Nenne - Innocent (Graphical) [Expert],★ 4.81,128.0,3:59,1336,4.0,9.0,9.0,HD,手控/间距串
9,10,4635297,2191387,Harano Oni - Siren (Liyuu_0109) [kiminideaetayo],★ 5.55,180.0,3:33,1126,5.46,10.0,10.0,HR,综合
10,11,3211629,1572944,Emilia (CV: Rie Takahashi) - Stay Alive (TV Size) (Aranel) [Please don't go...],★ 5.10,70.0,1:29,415,7.15,10.0,10.0,HR,小圈
11,12,3075535,1079970,EmoCosine - MAGENTA POTION (Short Ver.) (Starfy) [Another],★ 5.10,150.0,2:20,869,5.2,10.0,10.0,HR,手控 aim
12,13,4207810,2017137,Kotoha - Haru o Tsurete (tomatas95) [A New Chapter Begins Between You and Me~],★ 5.58,195.0,2:17,758,3.8,9.67,9.11,DT,Kohota
13,14,3681500,1786699,Mitsukiyo - Bunny Bunny Carrot Carrot (vinal2) [Thunooj's Hard],★ 5.39,255.0,1:15,682,3.8,9.67,9.11,DT,切死你
14,15,2972055,1441587,Ryokuoushoku Shakai - LADYBUG (RLC) [Harder],★ 5.44,186.0,2:21,1073,3.6,9.67,9.11,DT,DT手控
15,16,4521732,2146215,Sakura Miko - Kyun Kyun MIKO Kyun kyun <3 (Left) [Hard],★ 5.28,270.0,2:19,909,3.5,9.67,8.44,DT,谁说 DT 好刷 PP？
16,17,2140790,1002686,Puru - Grimheart (Original Mix) (Necho) [Quantum Rosta's Tolerance],★ 5.04 (5.35),170.0,4:30,2011,4.0,9.0,7.5,FM,？
17,18,4261144,2042113,solfa - Battle 3: Shiryoku no Kagiri -The force of mortality- (Lasse) [Garden's Insane],★ 4.72 (5.21),148.0,1:48,815,5.0,8.0,8.0,FM,antimod
18,19,4220385,2025686,Aice room - For U (Hinsvar) [Loving U],★ 5.10 (5.36),152.0,2:43,1014,2.8,9.2,8.2,FM,大圈
19,20,1877363,898690,lapix - Live Nor Die feat. Kanae Asaba (Nhato Remix) (Shiguri) [Breaking Free],★ 5.54,147.0,5:06,2381,4.3,9.2,8.6,TB,好听
