,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3946701,1913188,Yorushika - Toumin (BadGames) [Insane],★ 5.15,180.0,4:32,1515,3.8,9.0,8.0,NM,稳定
1,2,4240426,2033944,Dimrain47 - Infernoplex (EveLiya) [_Ex],★ 5.13,175.0,1:51,871,3.9,9.3,8.0,NM,切串
2,3,4220828,1961630,Ryokuoushoku Shakai - Michi o Yuke (mnyui) [Collab Another],★ 4.58,150.0,3:23,1225,3.8,8.8,8.0,NM,alt（节奏）
3,4,1056128,487775,Au5 - Reiteration (NeilPerry) [NiNo's Insane],★ 4.77,170.0,3:20,1278,4.2,9.2,8.0,NM,tech（常规）
4,5,4346409,1859697,ginkiha - Shadow Castle (JeZag) [john mapping's Insane],★ 4.71,175.0,2:37,1308,3.5,8.5,8.0,NM,stack0 reading gimmick
5,6,2971299,1438629,DUSTCELL - Inochi no Yukue (SMOKELIND) [MOETE'S INSANE],★ 5.04,200.0,3:09,1196,4.0,9.1,8.0,HD,light tech
6,7,2311890,1106189,KaratoPanchiiShounen feat. Haruno - A Wandering Melody of Love (papple104) [Insane],★ 4.75,165.0,1:59,802,4.0,8.5,7.7,HD,低AR aim
7,8,4446606,2026486,VaVa - Wo Xiang Dui Ni Shuo Baby (Yu vs. CTM Radio Mix) (Nightcore Mix) (__Ag) [DJ Ame's Insane],★ 5.19,175.0,2:41,966,5.2,10.0,10.0,HR,⚡️🔥⚡️红色电音极地大冲击⚡️🔥⚡️ 
8,9,1949167,911281,solfa feat. Shimotsuki Haruka - leap in your mind (Dored) [Gust's Hyper],★ 4.70,105.0,1:59,625,6.5,10.0,9.1,HR,其实这才是HR1
9,10,264721,99542,mamenoi - Tabi no Owari (Midasmens) [Insane],★ 5.31,210.0,2:10,749,4.0,9.67,9.11,DT,pp/高速跳
10,11,484543,171421,M2U - Quo Vadis (buhei) [Hard],★ 4.98,240.0,1:34,768,4.0,9.67,8.44,DT,高速切
11,12,3741405,1820737,PinocchioP - Magical Girl and Chocolate feat. Hatsune Miku (iRedi) [Collab Hard],★ 5.24,225.0,2:00,917,3.5,9.33,8.44,DT,节奏/手控
12,13,3248934,1581758,Rude-a - LIFE (elicz1) [Fujirin's Insane],★ 4.67 (4.98),93.0,2:56,950,4.0,9.0,8.0,FM,awkward aim
13,14,4059637,1949232,Kotoha - Cat Loving (Visionary) [vastly's insnyane],★ 4.53 (4.76),163.0,1:50,548,4.0,8.0,8.0,FM,antimod
14,15,3426796,1677263,Feint - The Journey (feat. Veela) (browiec) [Epiphany],★ 5.38,172.0,4:58,1312,4.0,9.2,9.0,TB,Tiebreaker
