,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,2923644,1353733,TRUE - Storyteller (Maaadbot) [Addy's Extra],★ 5.78,192.0,4:09,1425,3.8,9.2,9.0,NM,跳为主
1,2,3928106,1905018,765 MILLIONSTARS - Thank You! (TsumugiP) [GR@TITUDE],★ 5.88,177.0,4:33,1660,3.8,9.2,9.0,NM,综合
2,3,4152032,1995345,DECO*27 - Rabbit Hole feat. Hatsune Miku (NekoNekzy) [Bunny Streams],★ 5.51,173.0,2:37,1224,4.0,9.4,8.0,NM,跳里有串
3,4,3148929,1526448,"Dustvoxx, Laur - FireLight (Neokontrol Remix) (OKSY) [Sometimes, it happens]",★ 5.81,190.0,5:32,3450,4.0,9.4,8.5,NM,小串
4,5,4023006,1944586,N.M.S.T. - Snowflakes ([Jameson]) [Wintry],★ 5.93,175.0,2:00,1107,3.8,9.2,9.0,NM,变间距串
5,6,3336659,1395034,Sawako - Teikoku Shoujo (banter) [d7me's Expert],★ 5.55,118.0,3:58,1646,4.0,9.3,8.7,NM,手控
6,7,4187139,2008013,"Zedd, Grey - Adrenaline (DeRandom Otaku) [Basen's Expert]",★ 5.48,128.0,1:48,676,3.8,9.3,8.2,NM,light tech
7,8,3110069,1472207,69 de 74 - Little Guardian [2019-reworked] (Reywateil) [Otosaka's Black Another],★ 5.67,170.0,1:46,908,4.0,9.5,9.0,NM,中速串 + light tech
8,9,4395968,1983503,Nekomata Master - The Sky of Sadness (seros) [Calvaria's Remaster],★ 5.55,138.0,1:45,881,4.0,9.2,8.0,NM,节奏 + 手控
9,10,4413828,2103666,Release Hallucination - VANITAS (chloria_) [LIBERATION],★ 5.89,222.0,5:52,3452,3.8,9.3,8.0,NM,当TB打吧
