,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,2450295,1174754,TUYU - Namikare (jonathanlfj) [Superior],★ 6.60,204.0,3:58,1604,4.0,9.4,9.0,NM,
1,2,2583501,546102,"storyteller(cosMo x GAiA) feat. IA, Kagamine Rin - Anti the EuphoriaHOLiC (SaltyLucario) [Extreme]",★ 6.53,180.0,4:09,2188,4.0,9.6,9.0,NM,
2,3,4348854,2074570,fripSide - LEVEL5 -judgelight- (iRedi) [-extreme-],★ 6.44,139.5,4:12,1840,4.2,9.4,9.0,NM,
3,4,3835939,1865031,Mori Calliope x Hoshimachi Suisei - CapSule (SMOKELIND) [X],★ 6.06,120.0,2:42,1243,4.0,9.4,9.0,NM,
4,5,2724800,1314759,USAO - Cyaegha (- AzRaeL -) [Avarice],★ 6.36,200.0,2:06,1030,4.0,9.6,9.0,NM,
5,6,1884274,902519,UNDEAD CORPORATION - Everything will freeze (ShiroSagiri) [Kurikku Nuke's Expert],★ 6.90,240.0,3:08,1896,4.0,9.5,9.0,NM,
6,7,3495310,1710570,Tsukuyomi - Mayday (Defy) [Sinking into Despair],★ 6.41,172.0,3:18,1554,4.1,9.5,9.6,HD,
7,8,2789103,1276352,ZUN - Desire Drive (Halfslashed) [Lunatic],★ 5.36,158.0,2:21,907,5.0,8.0,8.0,HD,
8,9,4533311,2151613,Kyomeki - Da Da Da (-xxx Rumia-) [Da Darrrr Da Da Da],★ 6.10,124.0,2:51,853,3.8,9.2,8.5,HD,
9,10,3238631,1390700,Iglooghost - Bug Thief (Pyo) [Megafan's Extra],★ 6.03,187.0,3:15,1509,3.8,9.3,7.0,HD,
10,11,3601629,1759729,kakichoco - Zan'ei (Lasse) [Illusion],★ 6.60,180.0,4:15,1426,5.46,10.0,10.0,HR,
11,12,1463054,688877,Kucchi vs Akki - Yakumo >>JOINT STRUGGLE (Muya) [Another],★ 6.26,187.0,2:05,1015,6.5,10.0,10.0,HR,
12,13,2153590,1029940,Krewella - Killin' It (Sped Up Ver.) (h3ct1c) [Rapture],★ 6.40,176.0,2:45,1198,4.94,10.0,10.0,HR,
13,14,4545983,2156472,siraph - Souzou no Ame (Surgis) [Surgis & Hamano's Wet Dreams],★ 6.13,153.0,3:46,1354,4.29,10.0,10.0,HR,
14,15,3987876,1930506,S.I.N.G - Ji Ming Yue (Ma Yuyu) [Insane],★ 6.44,210.0,2:18,1028,4.2,9.93,9.78,DT,
15,16,991229,462878,Halozy - Heart of Night (Chaoslitz) [Life of Loneliness],★ 6.29,192.0,3:38,2485,4.2,10.13,9.78,DT,
16,17,3363306,1643829,Fred V - Already Disappeared (Strategas) [Insane],★ 6.72,261.0,2:24,1148,3.9,10.0,9.91,DT,
17,18,4555845,2160456,wowaka - Ura-Omote Lovers feat. Hatsune Miku (jellium) [Doinkus],★ 6.57,238.5,2:00,1345,4.0,9.67,9.44,DT,
18,19,416491,172292,Foreground Eclipse - Noble (keeeeeeko) [Dear you],★ 6.70,246.0,3:31,1442,4.0,10.33,9.78,DT,
19,20,4829100,2267665,Pandora - Emergency (TV Size Player) [JLC S3],★ 6.46,180.0,2:19,1267,4.0,10.07,9.78,NC,
20,21,2902513,1347859,Wolpis Kater - Oxalis (Tocorn) [Kaguya_Sama's Ultra],★ 7.76 (8.20),252.0,4:25,2015,3.8,9.8,9.4,F+,
21,22,1173889,554493,antiPLUR - Speed of Link (Linada) [Challenge],★ 7.62 (7.88),240.0,3:11,2420,3.7,10.0,10.0,F+,
22,23,2388297,1143822,SMiLE.dk - Koko Soko (AKIBA KOUBOU Eurobeat Remix) (Mijn Aim Zuigt) [INCREDIBILIS],★ 7.71 (8.24),152.0,3:10,1626,4.5,9.6,9.8,F+,
23,24,2346860,1123064,"Amuro vs. Killer - Mei (Camellia's ""Yomigae"" Remix) (RLC) [Resurrection]",★ 7.53 (8.10),210.0,4:37,2690,4.0,9.5,9.0,F+,
24,25,3207042,1570528,SAMString - NUMA (Fursum) [Multifarious],★ 7.74,180.0,5:00,2819,4.0,9.7,9.8,TB,
