,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,4550984,2155200,"Satou Rina, Inoue Marina & Chihara Minori - Shunkashuutou Festival (CoLouRed GlaZeE) [Fycho's Extra]",★ 5.61,172.0,3:45,1300,4.0,9.3,9.0,NM,pp OD9
1,2,3622014,1409977,DJ Amuro vs. DM Ashura - AAA (nautzz) [tourney edit],★ 5.43,160.0,1:37,978,4.5,9.4,8.5,NM,deathstream（编者注：原赛图已下架，使用替代谱面）
2,3,3009647,1431222,POLKADOT STINGRAY - SHAKE! SHAKE! (Shizuku Kariuta ver.) (Flake) [MOPH'S EXPERT!],★ 5.12,133.0,3:02,1225,4.0,9.2,8.2,NM,alt（综合）
3,4,3874861,1851929,Pusha T & Mako - Misfit Toys (Mir) [0pp's Extra],★ 4.76,100.0,2:54,1097,4.0,9.0,8.0,NM,tech（滑条）
4,5,3525649,1542079,ARForest - Prometheus (Ixcors) [Collab Insane (Tourney Edit)],★ 5.47,222.0,1:52,1039,4.0,9.2,8.5,NM,高速
5,6,4503686,1982264,SICK HACK - Watashi dake Yuurei (Amateurre) [xidorn's ghostly insane],★ 4.85,177.0,3:13,1296,4.0,8.0,8.0,NM,堆叠综合
6,7,2226084,1056140,Akatsuki Records - Trance Dance Anarchy (papapa213) [Extra],★ 5.47,195.0,3:41,1339,4.0,9.0,8.0,HD,SL0 dense awkward aim
7,8,2096780,1001641,Pizuya's Cell - Inchlings of the Shining Needle ~ Little Princess (Shurelia) [LMT's Insane],★ 5.08,172.0,2:16,945,4.0,8.0,7.5,HD,低AR
8,9,4601140,2178636,PSYQUI - Hysteric night girl -Awakening- (feat. Such) (ShandenOnter) [Luminescent],★ 5.20,160.0,3:00,1308,4.0,9.3,8.0,HD,alt/tech
9,10,3415453,1667367,PassCode - PROJECTION (hehe) [INSANE],★ 5.48,210.0,3:03,1210,5.2,10.0,10.0,HR,210X||||||105&140√
10,11,2320395,1110461,"ginkiha, TEA - Haruka (Short Ver.) (Hinsvar) [Niva's Insane]",★ 5.13,182.0,2:01,806,6.5,10.0,9.8,HR,小圈aim tech
11,12,696303,275655,"Razihel & Virtual Riot - One For All, All For One (Fort) [byfaR's Insane]",★ 5.10,145.0,3:41,1263,5.2,10.0,10.0,HR,acc
12,13,1919109,919080,Amatsuki - Hoshi no Komoriuta (Glaceon) [Pleasant Lullaby],★ 5.70,240.0,2:47,1103,4.0,10.0,9.44,DT,AR10 高速跳
13,14,2714747,1303143,REDALiCE feat. Usada Pekora & Sakura Miko - Peko Miko Daisensou!! (Amateurre) [xidorn's Hard!!],★ 5.71,270.0,2:41,1225,3.5,9.67,8.44,DT,高速爆发切
14,15,3250588,1581126,"BEMANI Sound Team ""Yvya"" - Vitrum (Lince Cosmico) [Atri's Insane]",★ 5.60,219.0,1:19,791,4.1,9.67,8.44,DT,手控
15,16,3487583,1616894,gmtn. (witch's slave) - trappola bewitching (supreme water) [Hard],★ 5.13,285.0,1:17,761,3.6,9.67,8.44,DT,DT gimmick
16,17,1987152,908087,toby fox - Bergentrueckung/ASGORE (Kaitjuh) [Mindmaster's Expert],★ 5.10 (5.42),229.69,2:44,960,3.5,9.1,8.0,FM,高速aim
17,18,2034589,971761,polysha - Water Lily (Hishiro Chizuru) [Another],★ 4.69 (5.34),155.0,1:44,741,5.0,8.0,6.0,FM; DA(overall_difficulty=6),rhythm（编者注：原赛图已下架，使用替代谱面）
18,19,4152865,1995184,Camellia feat. Ninomae Ina'nis - Drenched in Air (Mir) [Insane],★ 5.27 (5.46),189.0,4:35,2303,3.7,9.0,8.0,FM,light tech+stamina
19,20,1138055,536969,Camellia - Light it up (Shrukaghn) [Save me],★ 5.83,175.0,5:30,2723,4.0,9.3,8.6,TB,Camellia
