,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,2933166,1424129,DIALOGUE+ - Omoide Shiritori (TV Size) (Airiesu) [Insane],★ 4.47,172.0,1:25,501,3.8,9.0,8.0,NM,综合
1,2,1836302,873811,dj TAKA - quaver (Sotarks) [NiNo's Insane],★ 4.78,186.0,0:59,418,4.0,9.0,8.0,NM,跳切+爆发
2,3,2587041,1244542,Minato Aqua - #Aquairo Palette (Yuuma) [NE MOTTO!],★ 4.95,156.0,4:16,1335,4.0,9.0,8.0,NM,4*最后的综合
3,4,2820902,1303762,RAISE A SUILEN - Sacred world (TV Size) (Nowaie) [Hyper],★ 4.06,142.0,1:28,481,3.5,8.5,7.0,NM,慢速爆发
4,5,1697982,765499,Roselia - Shin'ai (-Aqua) [Reform's Hyper],★ 4.19,138.0,1:44,544,3.8,8.8,7.5,NM,慢速跳切
5,6,4052451,1900700,Suzuki Konomi - Love? Reason why!! (kunka) [Kowari's Hard],★ 3.55,137.0,3:12,960,4.0,7.5,6.0,NM,慢速切/手控/低AR
6,7,4275174,1955335,*Luna feat. Nenne - Innocent (Graphical) [Vanya's Insane],★ 3.83,128.0,3:48,1098,4.0,9.0,8.0,NM,慢速切/手控
7,8,1088966,504777,Petit Rabbit's - Nikkori Cafe no Mahoutsukai (Cut Ver.) (Momochikun) [Gu's Hard],★ 3.82,220.0,1:46,529,3.6,8.0,6.0,NM,节奏
8,9,4056111,1909824,kessoku band - Seiza ni Naretara (Amateurre) [Kyairie's Insane],★ 4.05,123.0,4:04,1636,4.4,9.0,8.0,NM,light alt/light tech
9,10,2868385,1388906,Raphlesia & BilliumMoto - My Love (Mao) [Mao & Panda's Hard],★ 3.83,175.0,3:42,1175,3.5,8.0,6.5,NM,魔王曲
