,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3628323,1747113,shiho - Shiori (TNTlealu) [Blossom],★ 5.82,201.0,4:14,1471,4.2,9.3,9.0,NM,
1,2,3941029,1910646,Station Earth - Cold Green Eyes feat. Roos Denayer (Edlan Remix) (HyperPigeon) [Gazing into the Alluring Green Eyes],★ 5.77,174.0,3:45,1788,3.8,9.2,9.0,NM,
2,3,3961145,1919435,kessoku band - Nani ga Warui (Amateurre) [Spotlight],★ 5.45,122.0,3:31,1337,4.0,9.4,8.5,NM,
3,4,3967162,1921953,Street - Hestia (0ppInOsu) [New noise],★ 5.75,190.0,2:03,866,3.7,9.3,7.5,NM,
4,5,3107447,1517973,Kobaryo - Perfect Neglect (xidorn) [the first],★ 6.28,230.0,2:13,1051,3.8,9.7,8.5,NM,
5,6,2684278,1119169,Yorushika - Itte. (Xen) [Noble],★ 5.89,180.0,3:33,1208,4.2,9.2,9.0,HD,
6,7,4145098,1994571,ZUN - Hartmann's Youkai Girl (RafaelXDP) [The Closed Eyes of Love],★ 5.12,165.0,2:21,1004,4.5,8.0,8.0,HD,
7,8,4347823,2076608,ginkiha - Shadow Castle (mintIceCream_) [mint_'s Extra(tourney ver.)],★ 5.51,175.0,2:47,1531,4.0,9.3,8.0,HD,
8,9,1935326,926528,Feryquitous feat. Aitsuki Nakuru - Ether (cococolaco) [Expert],★ 5.72,200.0,3:57,1427,5.2,10.0,10.0,HR,
9,10,2850334,1379378,Isekai Joucho - Hydrangea (Kyle Y) [Capricious],★ 5.48,133.0,3:52,1031,6.5,10.0,10.0,HR,
10,11,3333734,1633242,USAO - Chariot (Extended Mix) (Realazy) [lebronJAM],★ 5.42,128.0,3:09,1349,5.2,10.0,10.0,HR,
11,12,3949637,1914523,kessoku band - Flashbacker (Amateurre) [Spotlight],★ 5.87,115.5,2:45,1034,4.0,9.8,9.38,DT,
12,13,2239032,1069611,HyuN feat. Aerial - Exodus (Niva) [Insane],★ 6.20,210.0,1:32,720,4.0,9.67,9.78,DT,
13,14,3106294,1267252,cYsmix - Abandoned Shrine Party (Halfslashed) [jasontime's Insane],★ 5.63,192.0,1:51,913,3.8,10.0,9.44,DT,
14,15,2633790,1267316,tochi - Ascension (feat. Yoko Kanno) (-Tochi) [Midnight Skyline],★ 5.91,178.0,5:08,2035,3.8,9.3,8.5,TB,
