,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,1728042,824592,Mrs. GREEN APPLE - Ao to Natsu (Haruto) [Affection],★ 6.09,185.0,4:20,1496,4.2,9.4,9.0,NM,
1,2,3925196,1899790,Turbo - I Really Want To Stay At Your House / Eurobeat Remix (-luke-) [Drifters],★ 6.11,160.0,4:36,2192,4.0,9.6,9.0,NM,
2,3,3417994,1570536,CHON - Splash (mezelyus) [pyth0nix's Extra],★ 5.47,144.0,2:23,1150,4.0,9.2,8.7,NM,
3,4,1503914,711420,Nitro Fun - Cheat Codes VIP (xChorse) [UP UP DOWN DOWN LEFT RIGHT LEFT RIGHT B A START],★ 5.89,128.0,3:09,1033,3.6,9.4,9.0,NM,
4,5,4030378,1552776,Camellia - Routing (wyit) [destiny's Extra],★ 5.58,144.0,1:52,823,4.0,9.0,8.0,NM,
5,6,3906448,1850700,Egzod & Maestro Chives - Royalty (feat. Neoni) (Wiguez & Alltair Remix) (evth) [Blessed],★ 5.83,172.0,3:26,1157,4.2,9.5,8.8,NM,
6,7,1564457,722634,Culprate & Dictate - Pencilina (Celektus) [idiosyncratic],★ 5.78,172.0,3:00,1120,4.5,9.5,9.0,NM,
7,8,3472449,1699407,BLANKFIELD - Goodbye (Ladoma) [Glory],★ 5.90,258.0,4:39,2294,4.0,9.3,8.5,NM,
8,9,1640219,780885,Sayuri - Tsuki to Hanataba (Mirash) [Extra],★ 6.02,175.0,4:21,1410,4.0,9.0,8.0,HD,
9,10,30261,6813,Sammi Cheng - Mei Fei Se Wu (Sushi971) [Insane],★ 5.00,140.0,2:28,602,5.0,8.0,8.0,HD,
10,11,3677660,1794345,Middle Idol - Insight (Daycore) [Do Not Fall!],★ 6.03,178.0,3:06,1244,4.0,9.6,9.4,HD,
11,12,1775314,848976,Dictate - Treason (Realazy) [The Senate],★ 5.66,170.0,2:31,1178,4.0,9.2,8.7,HD,
12,13,890467,378196,sana - Miraizu (Lasse) [Forever],★ 6.01,178.0,2:57,968,5.2,10.0,10.0,HR,
13,14,3279103,1602507,Aiobahn - Towa no Utage (w/ YUC'e) [TANUKI Remix] (AJT) [Another],★ 5.64,170.0,2:42,774,6.5,10.0,10.0,HR,
14,15,3700933,1804775,PRXSXNT FXTURE - SMOKED OUT (SMOKELIND) [X],★ 5.62,124.0,1:54,676,4.16,10.0,10.0,HR,
15,16,3010348,1366507,vierre cloud - moment (Mimari) [astronic's another],★ 5.78,171.3,1:39,866,5.2,10.0,10.0,HR,
16,17,3719433,1813130,Ashimine Kiwako - Wasureji no Kotonoha (Enon) [Monogatari],★ 5.98,202.5,2:34,854,4.6,10.0,9.78,DT,
17,18,2945145,1406043,seleP - Segments Blue (Okoratu) [Hyper],★ 6.17,217.5,2:13,1208,4.0,10.0,8.78,DT,
18,19,40627,10044,Cherry Blossom - Dive to World (hutka) [orion's Little Streams],★ 6.09,220.5,1:41,856,5.0,9.67,9.78,DT,
19,20,2087482,837869,Nanahoshi Kangengakudan - Rubik's Cube (Lego man) [Em0nky and friends: Collab Hard],★ 5.96,261.0,2:00,1191,3.5,9.67,8.44,DT,
20,21,354167,53249,Traktion - Mission ASCII (galvenize) [Hyper],★ 6.13,261.75,2:05,1159,4.0,9.67,9.11,DT,
21,22,4815494,2262237,KBShinya & ZuobiaoP feat. Chiyu - Wan Xiang Shuang Tian (Flower) [JLC S3 Round1 Custom NC],★ 6.29,184.5,2:36,1291,4.0,10.0,9.78,NC,
22,23,4018393,1940091,Erika de Casier - What U Wanna Do? (DJ G2G Club Edit) (GuujiYae) [Speed Up Ver. (AR 10)],★ 6.83 (7.28),185.0,4:35,2028,4.0,10.0,9.0,F+,
23,24,2972211,1444929,Hommarju & Dollscythe - Flashes (Hommarju Remix) (Kayrem) [Blinking],★ 6.81 (7.31),175.0,1:50,1084,3.8,9.8,9.5,F+,
24,25,1694787,807547,kors k - Ultra Hardcore (P*Light Remix) (Kardshark) [Party On!],★ 6.88 (7.47),170.0,4:17,2253,4.2,9.5,8.5,F+,
25,26,3631936,1773829,aran & lapix - KALACAKLA (elicz1) [ETERNITY],★ 6.65 (7.21),165.0,4:26,2059,4.0,9.5,9.0,F+,
26,27,3683429,1796899,Sho Fish - Koi to Shuumatsu Ryokou (funny) [Elysium],★ 7.11,190.0,5:05,2484,4.0,9.6,9.0,TB,
