,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,2440571,1124084,Akatsuki Records - Trance Dance Anarchy (eiri-) [Trynna's Expert],★ 6.20,195.0,3:39,1346,4.0,9.3,8.7,NM,awkward jumps
1,2,4141762,1993094,Bluemchen - Herz an Herz (Cut Ver.) (Finney) [Du und Ich],★ 6.03,180.35,2:04,995,4.0,9.2,9.0,NM,herz an herz
2,3,4493432,2131840,Sir Mix-A-Lot - Baby Got Back (1103) [CORROSIVE's extra meat on them bones],★ 5.75,128.5,3:14,1160,4.0,9.2,8.5,NM,very mixed alt
3,4,2731084,1318291,DUSTCELL - DERO (jamesjan3) [Extra],★ 5.72,170.0,1:55,868,3.8,9.3,8.0,NM,slider tech with a bit of rhythm
4,5,4256603,2040473,Schwank - OPEN YOUR 3RD EYE (Amamya Kokoro) [Heartfelt Burst],★ 6.30,233.0,2:18,1201,4.0,9.5,9.0,NM,233bpm stamina
5,6,1958936,937787,Shindig - Stutter (sparxo) [e-e-extra],★ 5.71,120.0,2:08,520,6.0,9.0,9.0,NM,precision aim control
6,7,1695209,775846,An - Catanoph (Ryuusei Aika) [kanor's Extra],★ 5.91,191.0,3:18,1651,4.2,9.0,8.0,HD,mechanical stack reading
7,8,86352,25491,Kozato Snow - Izayoi Sakura (Mystica) [Insane],★ 5.41,175.0,2:26,850,4.0,8.0,7.0,HD,generic ar8 old map
8,9,1938210,869649,455-38B - G e n g a o z o - f o o n (ktgster) [Dada's Another],★ 5.73,153.0,2:48,1530,4.5,9.5,8.5,HD,gengaozo
9,10,3191337,1562788,yanaginagi - Sentimental (defiance) [Xilver's Another],★ 5.93,180.0,3:58,1891,5.2,10.0,10.0,HR,mechanics consistency
10,11,4021847,1944117,Riya - Laboratory-18 (-Sylvari) [C18-H21-NO4],★ 5.56,160.0,1:56,782,6.5,10.0,10.0,HR,flow precision
11,12,832152,364574,Ocelot - TSUBAKI (Hollow Wings) [Extra],★ 5.68,199.0,2:18,827,5.2,10.0,10.0,HR,hollow wings tech
12,13,4166450,2003500,Shura - What's It Gonna Be? (-Kemsyt) [Insane],★ 6.15,258.0,2:03,974,4.7,10.13,9.78,DT,WELCOME TO BOY LOVER CUP
13,14,3639411,1768259,King Gnu - Ichizu (AirinCat) [Insane],★ 5.93,240.0,1:53,1120,4.0,10.2,9.11,DT,speed
14,15,3440780,1683963,Scatman John - Scatman (ski-ba-bop-ba-dop-bop) (Fsjallink) [Insane],★ 6.21,204.03,1:59,985,4.0,9.67,9.11,DT,scatman
15,16,3510936,1718028,Wednesday Campanella - Medusa (waefwerf) [AR8.4 CS4],★ 5.80,187.5,2:03,1125,4.0,9.93,9.11,DT,control
16,17,3642326,1762468,Yuuri - Hikousen (alevi) [Kirishima-'s Expert],★ 5.92 (6.22),200.0,2:55,1085,3.6,9.2,9.0,FM,big circle generic jumps
17,18,4621458,2101950,Toromaru - Ebb Tide (KnightC0re) [Wispy's Another],★ 5.08 (5.27),142.0,2:44,1119,4.0,9.0,8.0,FM,semi-antimod rhythm（编者注：原赛图已下架，使用替代谱面）
18,19,4705388,2219796,TK from Ling tosite sigure - first death (TV Size) (FlyingUna) [tape's murder],★ 6.02 (6.69),164.0,1:27,731,4.4,9.4,8.7,F+,well mapped ja map :shock:
19,20,4769650,2243744,EYEDRESS - Jealous (ilia) [Envy (JA2)],★ 5.49 (6.26),186.0,1:55,664,5.0,8.0,8.0,F+,antimod JA :trolley:
20,21,4038285,1950409,Ayane - Phenogram (gazimal) [Fragment],★ 6.22,179.0,4:42,2101,4.0,9.4,9.0,TB,something
