,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,4553942,1755119,Shiena Nishizawa - Meaning (kowari) [Insane],★ 5.03,190.0,2:40,931,4.0,9.0,7.5,NM,跳
1,2,4402322,2059679,Shiraishi - Shinsekai (Mimosa M) [MM & Robinia's Collab Insane],★ 5.06,193.0,1:28,687,3.6,9.0,8.0,NM,串
2,3,2144228,1025171,LiSA - Gurenge (Crissa) [Insane],★ 4.54,135.0,3:38,1393,4.0,9.0,8.6,NM,alt
3,4,4179781,2002366,DJ Raisei - T.R.A.P. (PaRaDogi) [0pp's Insane],★ 4.65,203.0,1:51,679,4.0,9.0,8.0,NM,tech
4,5,36055,5918,Brandy - Cross Time !! (buraimaster1234) [Ultra],★ 4.05,160.0,2:07,738,4.0,8.0,8.0,NM,TD选的老图
5,6,946685,428142,Petit Rabbit's - Takarabako no Jet Coaster (Doormat) [Fleur de Lapin],★ 4.82,158.0,3:15,1085,4.0,9.0,8.0,HD,点兔给萌新玩再合适不过了
6,7,4845570,2274293,765 MILLION ALLSTARS - UNION!! (Arme Glenstid) [Mahiro's Advanced!!],★ 4.26,172.0,4:57,1661,3.6,8.0,7.0,HD,AR8 常规
7,8,3992837,1905018,765 MILLIONSTARS - Thank You! (TsumugiP) [Didah & Mana's INS@NE],★ 4.90,177.0,4:19,1361,4.94,10.0,10.0,HR,确认过眼神，是TD打不动的东西
8,9,4714325,2215787,my sound life - 02:15 (Cris-) [kanocchi's insane],★ 4.52,145.0,2:12,615,6.5,9.8,9.8,HR,是我先做的课题TAT
9,10,397535,163112,Kuba Oms - My Love (W h i t e) [Insane],★ 5.28,192.0,2:14,941,4.0,9.67,9.11,DT,别沮丧这个真能打
10,11,4460652,2057681,Tsukuyomi - Necropolis (dkblaze) [eringiRa's Hard],★ 5.06,204.0,2:19,1086,3.8,9.67,9.11,DT,finger control
11,12,4389104,2026486,VaVa - Wo Xiang Dui Ni Shuo Baby (Yu vs. CTM Radio Mix) (Nightcore Mix) (__Ag) [DJ NatsuRin's Hard],★ 5.15,262.5,1:48,924,4.0,9.67,9.11,DT,就和你说DT不会难的吧
12,13,1602634,762232,Tanya Degurechaff (CV: Yuki Aoi) - Los! Los! Los! (Sotarks) [Insane],★ 4.78 (5.03),240.0,3:24,1446,3.2,9.0,8.0,FM,改完之后BPM+60，FM不放水了
13,14,3411754,1655701,Mu Rong Xiao Xiao - Ai Qing Mai Mai (Firika) [Lobelia's Insane],★ 4.16 (4.72),95.0,3:06,889,5.0,8.0,8.0,FM,难飞了
14,15,733678,331150,Halozy - Genryuu Kaiko (pkk) [Death Melody],★ 5.15,173.0,5:00,1618,4.0,9.0,8.0,TB,基本功硬不硬就看这个了
