,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,1486581,699427,Blend A - Bon Appetit S (Meg) [Koume's Insane],★ 5.19,152.0,3:48,1547,4.0,9.0,7.0,NM,综合
1,2,1214269,572897,LiSA - Catch the Moment (Delis) [Extra],★ 5.61,190.0,4:20,1520,4.0,9.2,9.0,NM,跳
2,3,2538080,1087831,Ceui - COLORFUL DAYS!! (Shikibe Mayu) [Kowari's Extra],★ 5.53,182.0,4:08,1437,4.0,9.2,8.5,NM,跳
3,4,847314,128931,Feint - Tower Of Heaven (You Are Slaves) (eLy) [Extra],★ 5.24,175.0,2:35,1292,4.0,9.0,8.0,NM,中速串
4,5,2887834,1390922,Serenity - Lionheart (AdeAAa) [Collab Extra],★ 5.44,180.0,3:40,1795,4.0,9.0,8.2,NM,中速串
5,6,719594,292301,xi - Blue Zenith (Asphyxia) [RLC's Insane],★ 5.52,200.0,3:49,1645,4.0,9.0,8.0,NM,高速切
6,7,2466610,1173967,FRASER EDWARDS - Stop Saying We Sound Like Dragonforce (GLORYHAMMER) [Extra],★ 5.91,200.0,4:38,2633,4.0,9.2,9.0,NM,高速串
7,8,1124153,448919,xi - Halcyon -Long Version- (Natsu) [Demigod],★ 5.72,191.0,4:59,2146,4.1,9.3,8.0,NM,串综合
8,9,3153029,1334202,Gentle Stick X M2U - Ineffabilis (Bakugo-) [Ethereal Extra],★ 5.63,160.0,2:24,1100,3.7,9.3,8.6,NM,变间距串
9,10,910124,420754,Nekomata Master feat. Misawa Aki - chrono diver -fragment- (HB24) [Fragments Of Time],★ 5.83,185.0,5:23,1970,4.0,9.3,8.2,NM,长综合
