,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,1846226,873811,dj TAKA - quaver (Sotarks) [Kencho's Insane],★ 4.33,186.0,0:59,401,3.1,8.7,6.9,NM,基础跳/基础切
1,2,713935,320118,Reol - No title (VINXIS) [Light Insane],★ 4.36,200.0,1:17,440,4.0,8.8,7.5,NM,基础跳/基础切
2,3,1992112,954168,Petit Rabbit's - Happiness Encore (Yuuma) [Special Coffee],★ 4.10,135.0,1:35,403,4.0,8.5,8.5,NM,慢速大跳
3,4,2094974,1000852,Roselia - MIIRO (Doormat) [Gaia's Insane],★ 4.38,195.0,1:26,476,4.0,9.0,7.5,NM,跳切
4,5,847315,128931,Feint - Tower Of Heaven (You Are Slaves) (eLy) [Hyper],★ 3.82,175.0,2:35,863,3.8,8.0,6.0,NM,爆发
5,6,3938363,1909442,"Kano - ""Q"" & ""A"" (Cut Ver.) (Crysisters) [Insane]",★ 4.49,181.0,1:41,529,3.8,9.0,7.5,NM,综合
6,7,2780084,1321688,Petit Rabbit's - Tenkuu Cafeteria (LeQuack) [Hakku's Insane],★ 4.39,154.0,3:28,1045,3.8,8.8,8.0,NM,综合/稳定
7,8,663881,257793,Yuyoyuppe - AiAe (Fort) [Insane],★ 4.36,180.0,3:22,1386,4.0,8.5,7.0,NM,中速爆发
8,9,580225,235477,765PRO ALLSTARS - M@STERPIECE (Startrick) [Beyond the Brilliant Future],★ 4.30,128.01,5:12,1344,4.0,8.2,7.2,NM,慢速爆发
9,10,677872,292301,xi - Blue Zenith (Asphyxia) [toybot's Insane],★ 4.36,200.0,3:53,1503,4.0,9.0,7.0,NM,高速爆发
